大类	item（L2>L3>L4）	SKU名称	SKU编码	单位	价格
家庭保洁	日常保洁>按小时保洁>2小时保洁	2小时日常保洁	sku_home_daily_2h	次	¥89/2小时
家庭保洁	日常保洁>按小时保洁>3小时保洁	3小时日常保洁	sku_home_daily_3h	次	¥129/3小时
家庭保洁	日常保洁>按小时保洁>4小时保洁	4小时日常保洁	sku_home_daily_4h	次	¥169/4小时
家庭保洁	日常保洁>按户型保洁>一居室保洁	一居室日常保洁	sku_home_daily_1room	次	¥129-159
家庭保洁	日常保洁>按户型保洁>两居室保洁	两居室日常保洁	sku_home_daily_2room	次	¥199-239
家庭保洁	日常保洁>按户型保洁>三居室保洁	三居室日常保洁	sku_home_daily_3room	次	¥289-349
家庭保洁	日常保洁>钟点工保洁>做饭+保洁	做饭+保洁	sku_home_daily_cooking_clean	次	¥149/3小时
家庭保洁	深度保洁>全屋深度保洁>一居室深度	一居室深度保洁	sku_home_deep_1room	次	¥299-399
家庭保洁	深度保洁>全屋深度保洁>两居室深度	两居室深度保洁	sku_home_deep_2room	次	¥399-549
家庭保洁	深度保洁>全屋深度保洁>三居室深度	三居室深度保洁	sku_home_deep_3room	次	¥499-699
家庭保洁	深度保洁>厨卫深度保洁>厨房重油污清洁	厨房重油污清洁	sku_home_kitchen_heavy_grease	次	¥199-299
家庭保洁	深度保洁>厨卫深度保洁>卫生间除霉除垢	卫生间除霉除垢	sku_home_bathroom_mold	间	¥169-269
家庭保洁	深度保洁>出租房深度保洁>出租房入住前保洁	出租房入住前保洁	sku_home_rental_before_movein	次	¥349-549
家庭保洁	深度保洁>出租房深度保洁>退租基础保洁	退租基础保洁	sku_home_rental_checkout	次	¥249-399
家庭保洁	开荒保洁>新房开荒>新房普通开荒	新房普通开荒	sku_home_movein_basic	次	¥6-8/㎡
家庭保洁	开荒保洁>新房开荒>新房精细开荒	新房精细开荒	sku_home_movein_fine	次	¥8-12/㎡
家庭保洁	开荒保洁>装修后开荒>装修后重污开荒	装修后重污开荒	sku_home_renovation_heavy	次	上门估价 ¥10/㎡起
家庭保洁	开荒保洁>商铺开荒>小商铺开荒	小商铺开荒	sku_home_shop_opening	次	上门估价 ¥8/㎡起
家庭保洁	开荒保洁>商铺开荒>办公室开荒	办公室开荒	sku_home_office_opening	次	上门估价 ¥6/㎡起
家庭保洁	擦玻璃>家庭擦玻璃>单面玻璃清洁	单面玻璃清洁	sku_home_window_single	面	¥49-69/面
家庭保洁	擦玻璃>家庭擦玻璃>双面玻璃清洁	双面玻璃清洁	sku_home_window_double	面	¥79-119/面
家庭保洁	擦玻璃>家庭擦玻璃>全屋玻璃清洁	全屋玻璃清洁	sku_home_window_whole_house	次	¥199-399
家庭保洁	擦玻璃>高层擦玻璃>高层玻璃现场评估	高层玻璃现场评估	sku_home_window_highrise_quote	次	上门评估费 ¥99 · 清洁另计
家庭保洁	擦玻璃>商铺玻璃>商铺门面玻璃	商铺门面玻璃清洁	sku_home_window_shop_front	次	上门估价 ¥199起
家庭保洁	除螨清洁>床垫除螨>单人床垫除螨	单人床垫除螨	sku_home_mite_single_mattress	张	¥99-129
家庭保洁	除螨清洁>床垫除螨>双人床垫除螨	双人床垫除螨	sku_home_mite_double_mattress	张	¥149-189
家庭保洁	除螨清洁>沙发除螨>三人沙发除螨	三人沙发除螨	sku_home_mite_three_sofa	张	¥129-169
家庭保洁	除螨清洁>沙发除螨>布艺沙发除螨	布艺沙发除螨	sku_home_mite_fabric_sofa	张	¥99-149
家庭保洁	除螨清洁>全屋除螨>全屋除螨套餐	全屋除螨套餐	sku_home_mite_whole_house	次	¥299-599
家庭保洁	收纳整理>局部收纳>衣柜整理	衣柜整理	sku_home_org_wardrobe	次	¥199-399
家庭保洁	收纳整理>局部收纳>厨房整理	厨房整理	sku_home_org_kitchen	次	¥249-449
家庭保洁	收纳整理>局部收纳>儿童房整理	儿童房整理	sku_home_org_kids_room	次	¥229-399
家庭保洁	收纳整理>全屋收纳>全屋收纳整理	全屋收纳整理	sku_home_org_whole_house	次	上门估价 ¥499起
家庭保洁	收纳整理>搬家前后整理>搬家前打包整理	搬家前打包整理	sku_home_org_before_move	次	上门估价 ¥399起
家庭保洁	收纳整理>搬家前后整理>搬家后归位整理	搬家后归位整理	sku_home_org_after_move	次	上门估价 ¥399起
家电清洗	空调清洗>挂机空调>挂机普通清洗	挂机空调普通清洗	sku_ac_wall_basic	台	¥89-139/台
家电清洗	空调清洗>挂机空调>挂机深度清洗	挂机空调深度清洗	sku_ac_wall_deep	台	¥129-189/台
家电清洗	空调清洗>柜机空调>柜机普通清洗	柜机空调普通清洗	sku_ac_cabinet_basic	台	¥129-199/台
家电清洗	空调清洗>柜机空调>柜机深度清洗	柜机空调深度清洗	sku_ac_cabinet_deep	台	¥189-269/台
家电清洗	空调清洗>中央空调>出风口清洗	中央空调出风口清洗	sku_ac_central_outlet	个	¥89-129/个
家电清洗	空调清洗>中央空调>内机清洗	中央空调内机清洗	sku_ac_central_indoor	台	¥168-320/台
家电清洗	空调清洗>空调套餐>2台空调套餐	2台空调清洗套餐	sku_ac_package_2	套	¥158-258/2台
家电清洗	空调清洗>空调套餐>3台空调套餐	3台空调清洗套餐	sku_ac_package_3	套	¥228-368/3台
家电清洗	油烟机清洗>中式油烟机>中式普通清洗	中式油烟机普通清洗	sku_hood_chinese_basic	台	¥159-199
家电清洗	油烟机清洗>中式油烟机>中式深度清洗	中式油烟机深度清洗	sku_hood_chinese_deep	台	¥229-299
家电清洗	油烟机清洗>欧式油烟机>欧式普通清洗	欧式油烟机普通清洗	sku_hood_european_basic	台	¥189-249
家电清洗	油烟机清洗>欧式油烟机>欧式深度拆洗	欧式油烟机深度拆洗	sku_hood_european_deep	台	¥279-369
家电清洗	油烟机清洗>侧吸油烟机>侧吸重油污清洗	侧吸油烟机重油污清洗	sku_hood_side_heavy	台	¥249-349
家电清洗	油烟机清洗>集成灶>集成灶普通清洗	集成灶普通清洗	sku_hood_integrated_basic	台	¥199-279
家电清洗	油烟机清洗>集成灶>集成灶深度清洗	集成灶深度清洗	sku_hood_integrated_deep	台	¥299-399
家电清洗	洗衣机清洗>波轮洗衣机>波轮免拆清洗	波轮洗衣机免拆清洗	sku_washer_pulsator_basic	台	¥99-149
家电清洗	洗衣机清洗>波轮洗衣机>波轮全拆清洗	波轮洗衣机全拆清洗	sku_washer_pulsator_deep	台	¥169-249
家电清洗	洗衣机清洗>滚筒洗衣机>滚筒免拆清洗	滚筒洗衣机免拆清洗	sku_washer_drum_basic	台	¥129-179
家电清洗	洗衣机清洗>滚筒洗衣机>滚筒深度清洗	滚筒洗衣机深度清洗	sku_washer_drum_deep	台	¥199-289
家电清洗	洗衣机清洗>洗烘一体机>洗烘一体机清洗	洗烘一体机清洗	sku_washer_dryer_basic	台	¥169-249
家电清洗	洗衣机清洗>洗烘一体机>烘干风道清洗	烘干风道清洗	sku_washer_dryer_duct	台	¥99-149
家电清洗	冰箱清洗>单门/双门冰箱>单门冰箱清洗	单门冰箱清洗	sku_fridge_single_basic	台	¥99-139
家电清洗	冰箱清洗>单门/双门冰箱>双门冰箱清洗	双门冰箱清洗	sku_fridge_double_basic	台	¥139-189
家电清洗	冰箱清洗>对开门冰箱>对开门深度清洗	对开门冰箱深度清洗	sku_fridge_side_by_side_deep	台	¥199-289
家电清洗	冰箱清洗>多门冰箱>多门冰箱除味消毒	多门冰箱除味消毒	sku_fridge_multi_disinfection	台	¥169-249
家电清洗	热水器清洗>电热水器>电热水器内胆清洗	电热水器内胆清洗	sku_waterheater_electric_tank	台	¥169-249
家电清洗	热水器清洗>电热水器>镁棒更换	电热水器镁棒更换	sku_waterheater_electric_magnesium	根	¥99-169
家电清洗	热水器清洗>燃气热水器>燃气热水器外观清洁	燃气热水器外观清洁	sku_waterheater_gas_clean	台	¥79-129
家电清洗	热水器清洗>太阳能热水器>太阳能热水器清洗	太阳能热水器清洗	sku_waterheater_solar_clean	台	上门估价 ¥199起
家电清洗	厨房小家电清洗>燃气灶清洗>燃气灶清洗	燃气灶清洗	sku_stove_clean	台	¥99-149
家电清洗	厨房小家电清洗>洗碗机清洗>洗碗机内胆清洗	洗碗机内胆清洗	sku_dishwasher_inner_clean	台	¥129-179
家电清洗	厨房小家电清洗>消毒柜清洗>消毒柜除菌清洁	消毒柜除菌清洁	sku_disinfection_cabinet_clean	台	¥99-149
家电清洗	厨房小家电清洗>微波炉清洗>微波炉重污清洗	微波炉重污清洗	sku_microwave_heavy_clean	台	¥69-99
家电维修	空调维修>制冷/制热异常>不制冷检修	空调不制冷检修	sku_repair_ac_not_cooling	次	检测费¥80·维修另计
家电维修	空调维修>制冷/制热异常>不制热检修	空调不制热检修	sku_repair_ac_not_heating	次	检测费¥80·维修另计
家电维修	空调维修>漏水/异响>漏水维修	空调漏水维修	sku_repair_ac_water_leak	次	检测费¥80·维修另计
家电维修	空调维修>漏水/异响>异响检修	空调异响检修	sku_repair_ac_noise	次	检测费¥80·维修另计
家电维修	空调维修>电路/启动故障>不开机检修	空调不开机检修	sku_repair_ac_not_start	次	检测费¥80·维修另计
家电维修	空调维修>电路/启动故障>跳闸检修	空调跳闸检修	sku_repair_ac_trip	次	检测费¥80·维修另计
家电维修	空调维修>加氟/移机后维修>缺氟检测	空调缺氟检测	sku_repair_ac_gas_check	次	检测费¥49
家电维修	空调维修>加氟/移机后维修>加氟服务	空调加氟服务	sku_repair_ac_add_freon	台	¥120起/台
家电维修	空调维修>加氟/移机后维修>移机后故障检修	空调移机后故障检修	sku_repair_ac_after_move	次	检测费¥100·维修另计
家电维修	洗衣机维修>进水/排水故障>不进水维修	洗衣机不进水维修	sku_repair_washer_no_water	次	检测费¥80·维修另计
家电维修	洗衣机维修>进水/排水故障>不排水维修	洗衣机不排水维修	sku_repair_washer_no_drain	次	检测费¥80·维修另计
家电维修	洗衣机维修>不脱水/不转>不脱水维修	洗衣机不脱水维修	sku_repair_washer_no_spin	次	检测费¥80·维修另计
家电维修	洗衣机维修>不脱水/不转>不转维修	洗衣机不转维修	sku_repair_washer_not_rotate	次	检测费¥80·维修另计
家电维修	洗衣机维修>漏水/门锁>漏水维修	洗衣机漏水维修	sku_repair_washer_leak	次	¥99-260
家电维修	洗衣机维修>漏水/门锁>门锁维修	滚筒洗衣机门锁维修	sku_repair_washer_door_lock	次	¥129-280
家电维修	冰箱维修>制冷故障>不制冷检修	冰箱不制冷检修	sku_repair_fridge_not_cooling	次	检测费¥80·维修另计
家电维修	冰箱维修>制冷故障>制冷差检修	冰箱制冷差检修	sku_repair_fridge_weak_cooling	次	检测费¥80·维修另计
家电维修	冰箱维修>结冰/门封/噪音>结冰维修	冰箱结冰维修	sku_repair_fridge_frost	次	¥99-260
家电维修	冰箱维修>结冰/门封/噪音>门封条更换	冰箱门封条更换	sku_repair_fridge_door_seal	次	¥129-280(含材料)
家电维修	热水器维修>不加热/漏水>电热不加热检修	电热水器不加热检修	sku_repair_waterheater_no_heat	次	检测费¥80·维修另计
家电维修	热水器维修>不加热/漏水>漏水维修	热水器漏水维修	sku_repair_waterheater_leak	次	¥99-280
家电维修	热水器维修>点火/水温故障>燃气不点火维修	燃气热水器不点火维修	sku_repair_waterheater_no_ignite	次	检测费¥80·维修另计
家电维修	热水器维修>点火/水温故障>水温不稳检修	热水器水温不稳检修	sku_repair_waterheater_temp_unstable	次	检测费¥80·维修另计
家电维修	油烟机/燃气灶维修>油烟机维修>吸力弱维修	油烟机吸力弱维修	sku_repair_hood_no_suction	次	检测费¥80·维修另计
家电维修	油烟机/燃气灶维修>油烟机维修>开关/照明故障维修	油烟机开关/照明故障	sku_repair_hood_switch	次	¥99-260
